Bank Name,city,stalp,zip,RepDte,Reporting Year,Employees,Total Assets(000),CashBalance(000),Total Liabilities/Capital (000),Liabilities(000),Deposits
COMMONWEALTH BUSINESS BANK,Los Angeles,CA,90010,9/30/2019,2019,190,1159601,84382,1159601,1014929,989805
COMMONWEALTH BUSINESS BANK,Los Angeles,CA,90010,9/30/2020,2020,179,1399381,220073,1399381,1243810,1101866
COMMONWEALTH BUSINESS BANK,Los Angeles,CA,90010,9/30/2021,2021,200,1909035,397522,1909035,1730967,1666296
COMMONWEALTH CO-OPERATIVE BANK,Hyde Park,MA,2136,9/30/2019,2019,21,189845,10931,189845,161706,139190
COMMONWEALTH CO-OPERATIVE BANK,Hyde Park,MA,2136,9/30/2020,2020,21,189492,14686,189492,160740,138191
COMMONWEALTH CO-OPERATIVE BANK,Hyde Park,MA,2136,9/30/2021,2021,19,200187,19363,200187,170702,154494
COMMUNITY BANK,Winslow,IL,61089,9/30/2019,2019,20,217335,12368,217334,185257,150092
COMMUNITY BANK,Winslow,IL,61089,9/30/2020,2020,15,260654,18721,260653,224082,184719
COMMUNITY BANK,Winslow,IL,61089,9/30/2021,2021,16,257396,7884,257396,218313,180528
COMMUNITY BANK OF EASTON,Easton,IL,62633,9/30/2019,2019,4,36222,7758,36222,28683,28668
COMMUNITY BANK OF EASTON,Easton,IL,62633,9/30/2020,2020,4,37904,8067,37904,29612,29596
COMMUNITY BANK OF EASTON,Easton,IL,62633,9/30/2021,2021,4,39706,11404,39706,30675,30658
COMMUNITY BANK OF ELMHURST,Elmhurst,IL,60126,9/30/2019,2019,25,145795,5707,145795,130045,129926
COMMUNITY BANK OF ELMHURST,Elmhurst,IL,60126,9/30/2020,2020,28,175924,16129,175924,158463,158306
COMMUNITY BANK OF ELMHURST,Elmhurst,IL,60126,9/30/2021,2021,29,188791,5047,188791,172108,171930
COMMUNITY BANK OF SANTA MARIA,Santa Maria,CA,93455,9/30/2019,2019,51,263881,17738,263881,235003,233525
COMMUNITY BANK OF SANTA MARIA,Santa Maria,CA,93455,9/30/2020,2020,60,327457,24024,327457,298299,296783
COMMUNITY BANK OF SANTA MARIA,Santa Maria,CA,93455,9/30/2021,2021,59,402097,68357,402097,370923,367847
COMMUNITY BANK OF THE BAY,Oakland,CA,94612,9/30/2019,2019,50,491389,70018,491389,436561,400746
COMMUNITY BANK OF THE BAY,Oakland,CA,94612,9/30/2020,2020,55,636346,113811,636346,576309,530610
COMMUNITY BANK OF THE BAY,Oakland,CA,94612,9/30/2021,2021,63,749914,155969,749914,683350,654863
COMMUNITY BANK OF TRENTON,Trenton,IL,62293,9/30/2019,2019,16,84534,6710,84535,74607,68454
COMMUNITY BANK OF TRENTON,Trenton,IL,62293,9/30/2020,2020,17,96804,8718,96804,86235,76222
COMMUNITY BANK OF TRENTON,Trenton,IL,62293,9/30/2021,2021,16,98407,5762,98407,87299,82424
"COMMUNITY BANK, NATIONAL ASSOCIATION",Canton,NY,13617,9/30/2019,2019,2229,11391467,1008346,11391467,9824413,9389787
"COMMUNITY BANK, NATIONAL ASSOCIATION",Canton,NY,13617,9/30/2020,2020,2304,13647935,1830832,13647935,11872597,11398660
"COMMUNITY BANK, NATIONAL ASSOCIATION",Canton,NY,13617,9/30/2021,2021,2186,15096387,2314056,15096387,13438366,12972272
COMMUNITY BANKS OF SHELBY COUNTY,Cowden,IL,62422,9/30/2019,2019,20,46437,11037,46437,40873,40806
COMMUNITY BANKS OF SHELBY COUNTY,Cowden,IL,62422,9/30/2020,2020,20,52319,10937,52320,46647,46594
COMMUNITY BANKS OF SHELBY COUNTY,Cowden,IL,62422,9/30/2021,2021,20,59305,12987,59305,53724,53672
COMMUNITY COMMERCE BANK,Claremont,CA,91711,9/30/2019,2019,38,276756,48613,276756,223621,183099
COMMUNITY COMMERCE BANK,Claremont,CA,91711,9/30/2020,2020,45,338351,45535,338351,284593,203517
COMMUNITY COMMERCE BANK,Claremont,CA,91711,9/30/2021,2021,48,324319,48633,324319,268372,231977
COMMUNITY FEDERAL SAVINGS BANK,Woodhaven,NY,11421,9/30/2019,2019,56,175640,36239,175640,159447,158126
COMMUNITY FEDERAL SAVINGS BANK,Woodhaven,NY,11421,9/30/2020,2020,68,380731,107727,380731,354372,212573
COMMUNITY FEDERAL SAVINGS BANK,Woodhaven,NY,11421,9/30/2021,2021,81,624676,246866,624676,588649,312995
COMMUNITY FIRST BANK OF THE HEARTLAND,Mount Vernon,IL,62864,9/30/2019,2019,46,203408,9791,203408,183788,181728
COMMUNITY FIRST BANK OF THE HEARTLAND,Mount Vernon,IL,62864,9/30/2020,2020,44,251314,9374,251314,227798,217421
COMMUNITY FIRST BANK OF THE HEARTLAND,Mount Vernon,IL,62864,9/30/2021,2021,43,242649,37967,242649,216753,207229
COMMUNITY NATIONAL BANK IN MONMOUTH,Monmouth,IL,61462,9/30/2019,2019,13,40966,7101,40966,34924,34455
COMMUNITY NATIONAL BANK IN MONMOUTH,Monmouth,IL,61462,9/30/2020,2020,12,44160,9938,44160,37853,37203
COMMUNITY NATIONAL BANK IN MONMOUTH,Monmouth,IL,61462,9/30/2021,2021,10,49543,10617,49543,43045,42481
COMMUNITY PARTNERS SAVINGS BANK,Salem,IL,62881,9/30/2019,2019,50,202847,25915,202847,179111,167796
COMMUNITY PARTNERS SAVINGS BANK,Salem,IL,62881,9/30/2020,2020,53,223649,20563,223649,198101,178724
COMMUNITY PARTNERS SAVINGS BANK,Salem,IL,62881,9/30/2021,2021,51,234496,22070,234496,208361,189983
COMMUNITY SAVINGS BANK,Chicago,IL,60641,9/30/2019,2019,62,396440,20495,396440,331009,329111
COMMUNITY SAVINGS BANK,Chicago,IL,60641,9/30/2020,2020,60,425591,31318,425591,358794,352524
COMMUNITY SAVINGS BANK,Chicago,IL,60641,9/30/2021,2021,60,448396,19557,448396,383964,377387
COMMUNITY STATE BANK,Galva,IL,61434,9/30/2019,2019,46,237261,6652,237261,211352,210369
COMMUNITY STATE BANK,Galva,IL,61434,9/30/2020,2020,44,260736,10597,260736,234222,215194
COMMUNITY STATE BANK,Galva,IL,61434,9/30/2021,2021,46,264728,18267,264728,237006,231086
COMMUNITY STATE BANK OF ROCK FALLS,Rock Falls,IL,61071,9/30/2019,2019,55,263471,22859,263471,235182,233778
COMMUNITY STATE BANK OF ROCK FALLS,Rock Falls,IL,61071,9/30/2020,2020,55,303272,51147,303272,272603,270737
COMMUNITY STATE BANK OF ROCK FALLS,Rock Falls,IL,61071,9/30/2021,2021,44,328942,33896,328942,296806,295194
COMMUNITY TRUST BANK,Irvington,IL,62848,9/30/2019,2019,23,78175,12888,78175,66592,65834
COMMUNITY TRUST BANK,Irvington,IL,62848,9/30/2020,2020,22,86927,8927,86927,74477,70503
COMMUNITY TRUST BANK,Irvington,IL,62848,9/30/2021,2021,19,97071,17472,97071,84316,83512
COMMUNITY VALLEY BANK,El Centro,CA,92244,9/30/2019,2019,41,189590,24316,189590,166862,159180
COMMUNITY VALLEY BANK,El Centro,CA,92244,9/30/2020,2020,39,251789,33093,251789,226856,205540
COMMUNITY VALLEY BANK,El Centro,CA,92244,9/30/2021,2021,41,270619,53064,270619,241316,233836
"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",Goleta,CA,93117,9/30/2019,2019,128,903080,56341,903080,824261,762411
"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",Goleta,CA,93117,9/30/2020,2020,127,1041943,129562,1041943,955460,759464
"COMMUNITY WEST BANK, NATIONAL ASSOCIATION",Goleta,CA,93117,9/30/2021,2021,117,1135454,186933,1135454,1037381,932392
CORNERSTONE BANK,Spencer,MA,1562,9/30/2019,2019,168,1149873,20952,1149873,1031315,889611
CORNERSTONE BANK,Spencer,MA,1562,9/30/2020,2020,167,1323911,41138,1323911,1208328,1069123
CORNERSTONE BANK,Spencer,MA,1562,9/30/2021,2021,168,1420128,108636,1420128,1298530,1172490
CORNERSTONE COMMUNITY BANK,Red Bluff,CA,96080,9/30/2019,2019,39,304489,25051,304489,274897,270341
CORNERSTONE COMMUNITY BANK,Red Bluff,CA,96080,9/30/2020,2020,42,485281,67565,485281,451636,371635
CORNERSTONE COMMUNITY BANK,Red Bluff,CA,96080,9/30/2021,2021,42,554521,29401,554521,507960,500794
CORNERSTONE NATIONAL BANK & TRUST COMPANY,Palatine,IL,60067,9/30/2019,2019,89,637318,85924,637318,583354,573242
CORNERSTONE NATIONAL BANK & TRUST COMPANY,Palatine,IL,60067,9/30/2020,2020,91,903675,126148,903674,829738,812086
CORNERSTONE NATIONAL BANK & TRUST COMPANY,Palatine,IL,60067,9/30/2021,2021,93,1001404,294822,1001404,917788,890451
COUNTRY BANK,New York,NY,10017,9/30/2019,2019,54,786321,18318,786321,697464,649109
COUNTRY BANK FOR SAVINGS,Ware,MA,1082,9/30/2019,2019,223,1692907,55424,1692907,1446772,1187340
COUNTRY BANK FOR SAVINGS,Ware,MA,1082,9/30/2020,2020,199,1736464,89131,1736464,1473762,1306479
COUNTRY BANK FOR SAVINGS,Ware,MA,1082,9/30/2021,2021,204,1753279,317290,1753279,1485618,1388288
COUNTRY TRUST BANK,Bloomington,IL,61701,9/30/2019,2019,132,30878,3,30878,3755,665
COUNTRY TRUST BANK,Bloomington,IL,61701,9/30/2020,2020,107,32590,559,32590,4231,670
COUNTRY TRUST BANK,Bloomington,IL,61701,9/30/2021,2021,96,32965,3,32965,4210,670
COUNTRYSIDE BANK,Countryside,IL,60525,9/30/2019,2019,97,590684,21704,590684,521168,513150
CROSS COUNTY SAVINGS BANK,Middle Village,NY,11379,9/30/2019,2019,79,452303,45839,452304,401644,380737
CROSS COUNTY SAVINGS BANK,Middle Village,NY,11379,9/30/2020,2020,74,524675,92588,524675,472082,455244
CROSS COUNTY SAVINGS BANK,Middle Village,NY,11379,9/30/2021,2021,79,571145,123993,571145,516724,504233
CROSSROADS BANK,Effingham,IL,62401,9/30/2019,2019,23,175642,14274,175642,150336,146109
CROSSROADS BANK,Effingham,IL,62401,9/30/2020,2020,24,202799,9335,202798,174684,164767
CROSSROADS BANK,Effingham,IL,62401,9/30/2021,2021,28,212586,11647,212586,182557,174818
"CRYSTAL LAKE BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",Crystal Lake,IL,60014,9/30/2019,2019,59,1171070,39596,1171070,1055262,1019634
"CRYSTAL LAKE BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",Crystal Lake,IL,60014,9/30/2020,2020,58,1287320,106108,1287320,1170415,1073587
"CRYSTAL LAKE BANK AND TRUST COMPANY, NATIONAL ASSOCIATION",Crystal Lake,IL,60014,9/30/2021,2021,59,1334012,91272,1334012,1205249,1112521
CTBC BANK CORP. (USA),Los Angeles,CA,90017,9/30/2019,2019,335,3563017,170476,3563017,3045105,3007490
CTBC BANK CORP. (USA),Los Angeles,CA,90017,9/30/2020,2020,334,4181256,680568,4181256,3634986,3495850
CTBC BANK CORP. (USA),Los Angeles,CA,90017,9/30/2021,2021,345,4193834,469385,4193834,3602663,3566997
DE WITT SAVINGS BANK,Clinton,IL,61727,9/30/2019,2019,23,117392,15535,117392,102154,96825
DE WITT SAVINGS BANK,Clinton,IL,61727,9/30/2020,2020,25,132032,22326,132032,115537,106871
DE WITT SAVINGS BANK,Clinton,IL,61727,9/30/2021,2021,26,132848,9170,132848,115698,103232
DEAN CO-OPERATIVE BANK,Franklin,MA,2038,9/30/2019,2019,69,331362,8217,331362,301965,279598
DEAN CO-OPERATIVE BANK,Franklin,MA,2038,9/30/2020,2020,67,368646,30498,368645,336101,331680
DEAN CO-OPERATIVE BANK,Franklin,MA,2038,9/30/2021,2021,71,424759,20568,424759,390940,384717
DEDHAM INSTITUTION FOR SAVINGS,Dedham,MA,2026,9/30/2019,2019,205,1525262,11465,1525262,1342145,1290118
DEDHAM INSTITUTION FOR SAVINGS,Dedham,MA,2026,9/30/2020,2020,209,1720220,11665,1720220,1523245,1471596
DEDHAM INSTITUTION FOR SAVINGS,Dedham,MA,2026,9/30/2021,2021,211,1851016,53959,1851016,1642728,1598441
DELTA NATIONAL BANK AND TRUST COMPANY,New York,NY,10019,9/30/2019,2019,61,409044,205567,409044,354373,281812
DELTA NATIONAL BANK AND TRUST COMPANY,New York,NY,10019,9/30/2020,2020,62,330155,107746,330155,276600,258920
DELTA NATIONAL BANK AND TRUST COMPANY,New York,NY,10019,9/30/2021,2021,59,334863,143847,334863,283354,249518
DEUTSCHE BANK TRUST COMPANY AMERICAS,New York,NY,10005,9/30/2019,2019,548,40272000,14717000,40272000,30759000,27156000
DEUTSCHE BANK TRUST COMPANY AMERICAS,New York,NY,10005,9/30/2020,2020,469,46336000,15918000,46336000,37053000,32074000
DEUTSCHE BANK TRUST COMPANY AMERICAS,New York,NY,10019,9/30/2021,2021,435,44620000,23285000,44620000,35290000,32743000
DEVON BANK,Chicago,IL,60645,9/30/2019,2019,101,288837,20349,288837,262292,260779
DEVON BANK,Chicago,IL,60645,9/30/2020,2020,116,372390,12003,372390,343169,272665
DEVON BANK,Chicago,IL,60645,9/30/2021,2021,136,448995,12705,448995,418937,339742
DEWEY BANK,Dewey,IL,61840,9/30/2019,2019,9,21861,981,21861,18955,18912
DEWEY BANK,Dewey,IL,61840,9/30/2020,2020,7,27433,5785,27433,24395,22349
DEWEY BANK,Dewey,IL,61840,9/30/2021,2021,7,27412,3799,27412,24321,24291
DIETERICH BANK,Effingham,IL,62401,9/30/2019,2019,123,709133,20341,709133,636438,567703
DIETERICH BANK,Effingham,IL,62401,9/30/2020,2020,164,1090781,149959,1090781,979309,911072
DIETERICH BANK,Effingham,IL,62401,9/30/2021,2021,170,1275264,152243,1275264,1153974,1063995
DIME COMMUNITY BANK,Brooklyn,NY,11249,9/30/2019,2019,426,6417504,112541,6417504,5744326,4545297
DIME COMMUNITY BANK,Brooklyn,NY,11249,9/30/2020,2020,417,6612107,147283,6612107,5925596,4608592
DIME COMMUNITY BANK,Hauppauge,NY,11788,9/30/2021,2021,787,12350102,623764,12350102,11006898,10728041
DU QUOIN STATE BANK,Du Quoin,IL,62832,9/30/2019,2019,19,108365,4373,108365,93492,83328
DU QUOIN STATE BANK,Du Quoin,IL,62832,9/30/2020,2020,19,119776,1065,119776,100852,88237
DU QUOIN STATE BANK,Du Quoin,IL,62832,9/30/2021,2021,17,132295,2374,132295,113962,102753
DURAND STATE BANK,Durand,IL,61024,9/30/2019,2019,21,105849,12082,105849,93770,93257
DURAND STATE BANK,Durand,IL,61024,9/30/2020,2020,20,118450,27559,118450,105389,104717
DURAND STATE BANK,Durand,IL,61024,9/30/2021,2021,20,138670,32128,138670,122043,121420
EAGLE BANK,Everett,MA,2149,9/30/2019,2019,74,459745,20246,459745,405721,401206
EAGLE BANK,Everett,MA,2149,9/30/2020,2020,75,501398,46834,501398,444369,440040
EAGLE BANK,Everett,MA,2149,9/30/2021,2021,74,543608,32947,543608,484017,480094
EAST BOSTON SAVINGS BANK,Boston,MA,2128,9/30/2019,2019,514,6352561,417818,6352561,5687789,4976379
EAST BOSTON SAVINGS BANK,Boston,MA,2128,9/30/2020,2020,472,6566449,702138,6566449,5849715,4967844
EAST BOSTON SAVINGS BANK,Boston,MA,2128,9/30/2021,2021,427,6127605,1052553,6127605,5364824,4730515
EAST CAMBRIDGE SAVINGS BANK,Cambridge,MA,2141,9/30/2019,2019,146,1136811,90648,1136811,1021806,942991
EAST CAMBRIDGE SAVINGS BANK,Cambridge,MA,2141,9/30/2020,2020,148,1199451,106204,1199451,1080440,1031137
EAST CAMBRIDGE SAVINGS BANK,Cambridge,MA,2141,9/30/2021,2021,151,1285805,69313,1285805,1156883,1132378
EAST WEST BANK,Pasadena,CA,91101,9/30/2019,2019,3282,43243487,3199088,43243487,38383877,36856012
EAST WEST BANK,Pasadena,CA,91101,9/30/2020,2020,3208,50396229,5205637,50396229,45530709,42169284
EAST WEST BANK,Pasadena,CA,91101,9/30/2021,2021,3085,60941947,5707586,60941947,55459943,53774332
"EASTBANK, NATIONAL ASSOCIATION",New York,NY,10013,9/30/2019,2019,33,177851,21951,177851,144137,138824
"EASTBANK, NATIONAL ASSOCIATION",New York,NY,10013,9/30/2020,2020,30,158611,26806,158611,124348,120510
"EASTBANK, NATIONAL ASSOCIATION",New York,NY,10013,9/30/2021,2021,29,167328,24097,167328,133268,130611
EASTERN BANK,Boston,MA,2110,9/30/2019,2019,1784,11506995,353640,11506995,9915233,9434817
EASTERN BANK,Boston,MA,2110,9/30/2020,2020,1811,15453689,2329941,15453689,13746123,13348964
EASTERN BANK,Boston,MA,2110,9/30/2021,2021,1761,17449547,1248560,17449547,14804404,14438350
EASTERN INTERNATIONAL BANK,Los Angeles,CA,90012,9/30/2019,2019,28,122882,27413,122882,102574,102464
EASTERN INTERNATIONAL BANK,Los Angeles,CA,90012,9/30/2020,2020,25,146554,33766,146554,126083,115888
EASTERN INTERNATIONAL BANK,Los Angeles,CA,90012,9/30/2021,2021,25,138254,22381,138254,117781,117645
EASTHAMPTON SAVINGS BANK,Easthampton,MA,1027,9/30/2019,2019,202,1421080,77803,1421080,1299562,1139156
EASTHAMPTON SAVINGS BANK,Easthampton,MA,1027,9/30/2020,2020,203,1640596,214417,1640596,1499393,1324443
EASTHAMPTON SAVINGS BANK,Easthampton,MA,1027,9/30/2021,2021,193,1674734,200805,1674734,1521031,1422651
EH NATIONAL BANK,Beverly Hills,CA,90211,9/30/2019,2019,40,236951,14871,236951,199018,153676
EH NATIONAL BANK,Beverly Hills,CA,90211,9/30/2020,2020,44,281764,28745,281764,243941,225937
EH NATIONAL BANK,Beverly Hills,CA,90211,9/30/2021,2021,43,298939,34316,298939,260029,239359
"EL DORADO SAVINGS BANK, F.S.B.",Placerville,CA,95667,9/30/2019,2019,283,2161211,329790,2161211,1913636,1901789
"EL DORADO SAVINGS BANK, F.S.B.",Placerville,CA,95667,9/30/2020,2020,265,2448387,382804,2448387,2191508,2178984
"EL DORADO SAVINGS BANK, F.S.B.",Placerville,CA,95667,9/30/2021,2021,266,2765296,705271,2765296,2503007,2490907
ELMIRA SAVINGS BANK,Elmira,NY,14901,9/30/2019,2019,127,615868,18608,615869,557447,522520
ELMIRA SAVINGS BANK,Elmira,NY,14901,9/30/2020,2020,115,674281,85381,674281,614321,552674
ELMIRA SAVINGS BANK,Elmira,NY,14901,9/30/2021,2021,115,643804,111522,643804,580408,547694
EMIGRANT BANK,New York,NY,10017,9/30/2019,2019,488,5661961,213713,5661961,4440363,4353165
EMIGRANT BANK,New York,NY,10017,9/30/2020,2020,473,6380573,919022,6380573,5147259,4865703
EMIGRANT BANK,New York,NY,10017,9/30/2021,2021,459,5739920,401662,5739920,4450326,4237708
EMIGRANT MERCANTILE BANK,New York,NY,10017,9/30/2019,2019,5,3443,3443,3443,507,500
EMIGRANT MERCANTILE BANK,New York,NY,10017,9/30/2020,2020,5,3421,3415,3421,504,500
EMIGRANT MERCANTILE BANK,New York,NY,10017,9/30/2021,2021,7,3397,3391,3397,505,500
EMPIRE NATIONAL BANK,Islandia,NY,11749,9/30/2019,2019,74,1012533,48984,1012533,918867,902325
EMPIRE NATIONAL BANK,Islandia,NY,11749,9/30/2020,2020,61,920864,48924,920864,818158,802963
EMPIRE STATE BANK,Newburgh,NY,12550,9/30/2019,2019,55,421821,24722,421821,391249,328311
EMPIRE STATE BANK,Newburgh,NY,12550,9/30/2020,2020,54,495398,47246,495398,454560,357907
EMPIRE STATE BANK,Newburgh,NY,12550,9/30/2021,2021,63,504046,46108,504046,454695,424193
ENDEAVOR BANK,San Diego,CA,92101,9/30/2019,2019,25,115943,31813,115943,97671,96595
ENDEAVOR BANK,San Diego,CA,92101,9/30/2020,2020,31,360949,59040,360949,335306,188832
ENDEAVOR BANK,San Diego,CA,92101,9/30/2021,2021,40,439853,88456,439853,408631,299812
ENTERPRISE BANK AND TRUST COMPANY,Lowell,MA,1852,9/30/2019,2019,519,3138724,82864,3138724,2833537,2784707
ENTERPRISE BANK AND TRUST COMPANY,Lowell,MA,1852,9/30/2020,2020,523,4060547,308364,4060547,3664969,3614672
ENTERPRISE BANK AND TRUST COMPANY,Lowell,MA,1852,9/30/2021,2021,537,4451433,644376,4451433,4046082,3971314
ENVISION BANK,Randolph,MA,2368,9/30/2019,2019,206,641763,9717,641763,569707,500868
ENVISION BANK,Randolph,MA,2368,9/30/2020,2020,199,725171,49091,725172,639611,529731
ENVISION BANK,Randolph,MA,2368,9/30/2021,2021,184,751052,12974,751052,655899,576555
"ESQUIRE BANK, NATIONAL ASSOCIATION",Jericho,NY,11753,9/30/2019,2019,79,756642,61676,756641,659443,649993
"ESQUIRE BANK, NATIONAL ASSOCIATION",Jericho,NY,11753,9/30/2020,2020,93,869519,104390,869519,761954,747797
"ESQUIRE BANK, NATIONAL ASSOCIATION",Jericho,NY,11753,9/30/2021,2021,108,1101618,138053,1101618,986820,977445
ETHIC,Boston,MA,2110,9/30/2020,2020,45,270134,40923,270134,244069,241206
"ETHIC, A WEALTH BANK",Boston,MA,2110,9/30/2021,2021,28,239305,45352,239305,213681,211759
EUREKA SAVINGS BANK,La Salle,IL,61301,9/30/2019,2019,51,316029,25096,316029,238864,238080
EUREKA SAVINGS BANK,La Salle,IL,61301,9/30/2020,2020,49,360336,28330,360336,277433,257435
EUREKA SAVINGS BANK,La Salle,IL,61301,9/30/2021,2021,51,417772,27649,417772,333583,315138
"EVANS BANK, NATIONAL ASSOCIATION",Angola,NY,14006,9/30/2019,2019,242,1439855,34308,1439855,1298469,1263458
"EVANS BANK, NATIONAL ASSOCIATION",Angola,NY,14006,9/30/2020,2020,291,2040299,103601,2040299,1863418,1788248
"EVANS BANK, NATIONAL ASSOCIATION",Angola,NY,14006,9/30/2021,2021,305,2134915,191727,2134915,1938910,1878409
EVERETT CO-OPERATIVE BANK,Everett,MA,2149,9/30/2019,2019,45,513780,11366,513780,446576,421237
EVERETT CO-OPERATIVE BANK,Everett,MA,2149,9/30/2020,2020,46,562099,38731,562099,490120,464845
EVERETT CO-OPERATIVE BANK,Everett,MA,2149,9/30/2021,2021,51,644538,61060,644538,567460,553090
EVERGREEN BANK GROUP,Oak Brook,IL,60523,9/30/2019,2019,145,1071091,81438,1071091,953741,917526
EVERGREEN BANK GROUP,Oak Brook,IL,60523,9/30/2020,2020,159,1261193,125103,1261193,1127044,1072166
EVERGREEN BANK GROUP,Oak Brook,IL,60523,9/30/2021,2021,169,1215250,120594,1215250,1059388,1020135
EVERTRUST BANK,Pasadena,CA,91101,9/30/2019,2019,102,933426,84478,933426,746099,734921
EVERTRUST BANK,Pasadena,CA,91101,9/30/2020,2020,97,983879,182477,983879,786604,738140
EVERTRUST BANK,Pasadena,CA,91101,9/30/2021,2021,92,1026418,231241,1026418,817390,778795
EXCHANGE BANK,Santa Rosa,CA,95401,9/30/2019,2019,415,2607873,204894,2607873,2345812,2296083
EXCHANGE BANK,Santa Rosa,CA,95401,9/30/2020,2020,388,3038464,296339,3038464,2740386,2685030
EXCHANGE BANK,Santa Rosa,CA,95401,9/30/2021,2021,372,3535757,572709,3535757,3219699,3171846
EXCHANGE STATE BANK,Lanark,IL,61046,9/30/2019,2019,14,91489,5266,91489,79630,77571
EXCHANGE STATE BANK,Lanark,IL,61046,9/30/2020,2020,15,101816,5431,101816,87873,81899
EXCHANGE STATE BANK,Lanark,IL,61046,9/30/2021,2021,14,106911,5591,106911,93600,86688
FAIRPORT SAVINGS BANK,Fairport,NY,14450,9/30/2019,2019,70,323122,3752,323122,292974,232896
FAIRVIEW STATE BANKING COMPANY,Fairview,IL,61432,9/30/2019,2019,6,28885,4633,28885,24979,24291
FAIRVIEW STATE BANKING COMPANY,Fairview,IL,61432,9/30/2020,2020,6,31338,3892,31338,27352,26653
FAIRVIEW STATE BANKING COMPANY,Fairview,IL,61432,9/30/2021,2021,6,35845,5917,35845,31541,30770
FALL RIVER FIVE CENTS SAVINGS BANK,Fall River,MA,2720,9/30/2019,2019,203,1065470,23697,1065470,974217,919228
FALL RIVER FIVE CENTS SAVINGS BANK,Fall River,MA,2720,9/30/2020,2020,204,1216888,61669,1216888,1117600,1063528
FALL RIVER FIVE CENTS SAVINGS BANK,Fall River,MA,2720,9/30/2021,2021,220,1340639,26030,1340639,1215393,1169986
"FAMILY FEDERAL SAVINGS, F.A.",Fitchburg,MA,1420,9/30/2019,2019,18,95703,4564,95703,84463,82861
FARMERS & MECHANICS BANK,Galesburg,IL,61401,9/30/2019,2019,70,369674,5940,369674,318252,302495
FARMERS & MECHANICS BANK,Galesburg,IL,61401,9/30/2020,2020,66,402990,9029,402990,353069,332868
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Lodi,CA,95240,9/30/2019,2019,368,3569064,224814,3569064,3204219,3141089
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Lodi,CA,95240,9/30/2020,2020,360,4301259,359185,4301259,3874823,3815755
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Lodi,CA,95240,9/30/2021,2021,360,5103549,872211,5103549,4639366,4570375
FARMERS & MERCHANTS BANK OF HUTSONVILLE,Hutsonville,IL,62433,9/30/2019,2019,6,45591,8557,45591,37196,37150
FARMERS & MERCHANTS BANK OF HUTSONVILLE,Hutsonville,IL,62433,9/30/2020,2020,7,46350,10053,46350,37730,37692
FARMERS & MERCHANTS BANK OF HUTSONVILLE,Hutsonville,IL,62433,9/30/2021,2021,7,50542,4404,50542,41691,41655
FARMERS AND MERCHANTS BANK OF LONG BEACH,Long Beach,CA,90802,9/30/2019,2019,762,7597080,159351,7597080,6528854,5849283
FARMERS AND MERCHANTS BANK OF LONG BEACH,Long Beach,CA,90802,9/30/2020,2020,764,9682905,920062,9682905,8550037,7421329
FARMERS AND MERCHANTS BANK OF LONG BEACH,Long Beach,CA,90802,9/30/2021,2021,749,11286280,1491538,11286280,10070270,8947240
FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,Bushnell,IL,61422,9/30/2019,2019,22,69490,17449,69490,62734,62641
FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,Bushnell,IL,61422,9/30/2020,2020,21,78311,23663,78311,71185,70930
FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,Bushnell,IL,61422,9/30/2021,2021,20,86513,22746,86513,79637,79593
FARMERS NATIONAL BANK,Prophetstown,IL,61277,9/30/2020,2020,55,782493,29219,782492,669781,522962
FARMERS NATIONAL BANK,Prophetstown,IL,61277,9/30/2021,2021,56,857869,25190,857869,736380,596698
FARMERS NATIONAL BANK OF GRIGGSVILLE,Griggsville,IL,62340,9/30/2019,2019,23,91258,10669,91259,81102,79491
FARMERS NATIONAL BANK OF GRIGGSVILLE,Griggsville,IL,62340,9/30/2020,2020,22,106436,11898,106436,95239,89654
FARMERS NATIONAL BANK OF GRIGGSVILLE,Griggsville,IL,62340,9/30/2021,2021,24,123971,19706,123971,111504,104871
FARMERS STATE BANK,Pittsfield,IL,62363,9/30/2019,2019,51,252522,11258,252522,217540,215738
FARMERS STATE BANK,Elmwood,IL,61529,9/30/2019,2019,14,55345,4616,55345,50449,48911
FARMERS STATE BANK,Pittsfield,IL,62363,9/30/2020,2020,50,285665,5917,285665,247701,241937
FARMERS STATE BANK,Elmwood,IL,61529,9/30/2020,2020,13,59525,7343,59524,53918,52402
FARMERS STATE BANK,Pittsfield,IL,62363,9/30/2021,2021,46,309325,4603,309325,268952,267287
FARMERS STATE BANK,Elmwood,IL,61529,9/30/2021,2021,11,65923,5435,65923,60405,57434
FARMERS STATE BANK & TRUST CO.,Mount Sterling,IL,62353,9/30/2019,2019,16,97011,8912,97011,88270,86815
FARMERS STATE BANK & TRUST CO.,Mount Sterling,IL,62353,9/30/2020,2020,16,120051,10203,120051,110545,105178
